time ,device 69,device 70,device 71,device 72,device 73,device 75,device 76,device 77,device 78,device 79,device 80,device 81,device 82,device 83,device 84,device 85,device 86,device 87,device 88,device 89,device 91,device 92,device 93,device 94,device 95,device 96,device 97,device 98,device 99,device 100,device 101,device 103,device 104,device 105,device 106,device 107,device 108,device 109,device 110
2022/11/2,,164.4067128,299.4949575,,,,,124.5342055,31.53848247,,91.14699818,224.4960559,,344.2501813,139.8130317,,96.2765909,,,,91.46800056,,146.4054079,,195.0136002,,,93.48235599,,184.68022,237.9471493,204.4359999,,186.9753752,113.6523956,,18.84259661,,
2022/11/3,,55.48292575,209.5038303,,,,,136.5803268,46.82182779,,89.75994561,108.7012819,,145.9616264,116.286563,,197.8653147,,,,55.09307438,,106.8772314,,117.7486729,,,65.07139441,,105.8688372,257.696428,166.40319,,95.42493769,109.0113549,,19.52592898,,
2022/11/4,205.3291003,52.5018269,141.1872485,,,,,,47.61967094,,73.57192465,126.6993174,,121.5962805,93.53547443,,133.1854251,,,,59.04231452,,37.69972555,,121.2640423,,,61.7638628,,108.20393,136.882773,96.49741667,,89.84367708,84.27060879,,18.40158399,,
2022/11/5,124.6528434,162.3364927,469.6112299,,,,,,35.54885206,,61.11803637,233.7334442,,354.330912,124.7125467,,63.1617744,,,,91.66953721,,49.21969935,,141.3917874,,,57.75332792,,176.5007475,226.5595495,95.80972407,,183.2298301,91.03594004,,18.22397547,,
2022/11/6,135.760939,220.1703946,232.4872674,,,,,,43.52410211,,71.32721122,195.4545913,,260.2060706,180.877193,,81.19225265,,,,135.9528588,,50.15538544,,225.8239769,,,79.0341286,,172.5169901,155.2052551,107.9548935,,222.4041688,98.18597804,,18.6145211,,
2022/11/7,189.2841306,146.3312792,273.0219586,,,,,,60.60295999,,132.4057607,188.5503348,,186.0065389,181.559577,,320.9842988,,,,110.1819611,,167.0207083,,211.9475907,,,130.8522754,,187.0853982,398.7810083,236.395383,,173.5722334,170.6946076,,18.99963956,,
2022/11/8,190.4539959,139.0865912,313.1140698,,,,,,84.08963484,,163.0094147,177.7954353,,172.5249897,183.6358811,,290.3779094,,,,118.5021051,,170.9512721,,208.2958902,,,148.9689094,,193.853365,222.5755665,233.6614793,,174.7095085,192.5877478,,18.61622692,,
2022/11/9,169.984523,146.7787406,,,,,,,71.30993652,,134.0797466,187.4157082,,190.6111826,196.9638725,,257.0817396,,,,123.9864799,,141.3276934,,225.376162,,,160.2225063,,196.2082678,234.2861761,195.5465773,,179.2542364,142.002506,,19.36753592,,
2022/11/10,180.3233429,163.3546729,,,,,,,92.6595576,,192.9761591,207.3157829,,196.9797521,207.0366664,,366.8045935,,,,142.1315117,,149.6919989,,258.8752487,,,175.5118891,,278.1042379,356.3529219,183.9154144,,191.7199122,198.0699963,,19.9827841,,
2022/11/11,175.1096989,232.3916618,,,,,,,84.28329299,,608.0572342,256.1080927,,241.9791978,241.3803737,,349.5053714,,,,181.6946274,,121.8963411,,304.9577068,,,229.5954331,,349.3433603,387.8189802,170.8437927,,247.9967477,153.9129681,,19.97459139,,
